,tweetid,favorite_count,retweet_count,lang,source,followers_count
253,842115215311396866,13927,3012,en,Twitter for iPhone,8784788
254,841833993020538882,0,14981,en,Twitter for iPhone,8784788
255,841680585030541313,25633,7763,en,Twitter for iPhone,8784788
256,841439858740625411,12614,3669,en,Twitter for iPhone,8784788
257,841320156043304961,19736,5477,en,Twitter for iPhone,8784788
258,841314665196081154,15795,4625,en,Twitter Web Client,8784217
259,841077006473256960,22803,5285,en,Twitter for iPhone,8784788
260,840761248237133825,0,1758,en,Twitter for iPhone,8784788
261,840728873075638272,0,16062,en,Twitter for iPhone,8784788
262,840698636975636481,174,2,en,Twitter for iPhone,8784788
263,840696689258311684,12260,967,en,Twitter for iPhone,8784788
264,840632337062862849,8984,1758,en,Twitter for iPhone,8784788
265,840370681858686976,16418,4521,en,Twitter for iPhone,8784788
266,840268004936019968,19218,5702,en,Twitter for iPhone,8784788
267,839990271299457024,13395,2269,en,Twitter for iPhone,8784788
268,839549326359670784,27432,7717,en,Twitter for iPhone,8784788
269,839290600511926273,0,143,en,Twitter for iPhone,8784788
270,839239871831150596,27070,6515,en,Twitter for iPhone,8784788
271,838952994649550848,19630,3988,en,Twitter for iPhone,8784788
272,838921590096166913,11145,2059,en,Twitter for iPhone,8784788
273,838916489579200512,0,35,en,Twitter for iPhone,8784788
274,838831947270979586,0,10982,en,Twitter for iPhone,8784788
275,838561493054533637,10939,1335,en,Twitter for iPhone,8784788
276,838476387338051585,22496,4767,en,Twitter for iPhone,8784788
277,838201503651401729,0,10045,en,Twitter for iPhone,8784789
278,838150277551247360,1672,332,und,Twitter for iPhone,8784789
279,838085839343206401,139,1,en,Twitter for iPhone,8784789
280,838083903487373313,17617,3131,en,Twitter for iPhone,8784789
281,837820167694528512,34145,7849,en,Twitter for iPhone,8784789
282,837482249356513284,3851,442,en,Twitter for iPhone,8784790
283,837471256429613056,12816,2275,en,Twitter for iPhone,8784790
284,837110210464448512,16085,2366,en,Twitter for iPhone,8784790
285,836989968035819520,12783,2293,en,Twitter for iPhone,8784790
286,836753516572119041,19344,4642,en,Twitter for iPhone,8784790
287,836677758902222849,12628,2227,en,Twitter for iPhone,8784790
288,836648853927522308,0,555,en,Twitter for iPhone,8784790
289,836397794269200385,0,27524,en,Twitter for iPhone,8784790
290,836380477523124226,14778,2992,en,Twitter for iPhone,8784219
291,836260088725786625,21338,4308,en,Twitter for iPhone,8784790
292,836001077879255040,19111,4269,en,Twitter for iPhone,8784790
293,835685285446955009,0,8139,en,Twitter for iPhone,8784790
